"GEO_ID","id"
"S1703_C04_023M","Less than 125 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C04_024E","Less than 125 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C04_024M","Less than 125 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C04_025E","Less than 125 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C04_025M","Less than 125 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C04_026E","Less than 125 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C04_026M","Less than 125 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C04_027E","Less than 125 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Native"
"S1703_C04_027M","Less than 125 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Native"
"S1703_C04_028E","Less than 125 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C04_028M","Less than 125 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C04_029E","Less than 125 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C04_029M","Less than 125 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C04_030E","Less than 125 percent of the poverty level!!Estimate!!DISABILITY STATUS!!With any disability"
"S1703_C04_030M","Less than 125 percent of the poverty level!!Margin of Error!!DISABILITY STATUS!!With any disability"
"S1703_C04_031E","Less than 125 percent of the poverty level!!Estimate!!DISABILITY STATUS!!No disability"
"S1703_C04_031M","Less than 125 percent of the poverty level!!Margin of Error!!DISABILITY STATUS!!No disability"
"S1703_C04_032E","Less than 125 percent of the poverty level!!Estimate!!WORK STATUS!!Population 16 to 64 years"
"S1703_C04_032M","Less than 125 percent of the poverty level!!Margin of Error!!WORK STATUS!!Population 16 to 64 years"
"S1703_C04_033E","Less than 125 percent of the poverty level!!Estimate!!WORK STATUS!!Worked full-time, year-round"
"S1703_C04_033M","Less than 125 percent of the poverty level!!Margin of Error!!WORK STATUS!!Worked full-time, year-round"
"S1703_C04_034E","Less than 125 percent of the poverty level!!Estimate!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C04_034M","Less than 125 percent of the poverty level!!Margin of Error!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C04_035E","Less than 125 percent of the poverty level!!Estimate!!WORK STATUS!!Did not work"
"S1703_C04_035M","Less than 125 percent of the poverty level!!Margin of Error!!WORK STATUS!!Did not work"
